Date,XGBoost_Forecast,LightGBM_Forecast
2023-12-30,597.42834,547.2741169902049
2023-12-31,689.788,729.5445852013993
2024-01-01,848.70483,747.578391419827
2024-01-02,699.1794,747.5976381647653
2024-01-03,753.01965,777.4440863314213
2024-01-04,702.8513,704.0284505715028
2024-01-05,699.91254,543.7998675657825
2024-01-06,624.8454,660.3590318915617
2024-01-07,699.0545,673.0342913611577
2024-01-08,694.1458,749.563941225104
2024-01-09,635.1046,676.5851843227856
2024-01-10,731.76263,628.5848694808624
2024-01-11,647.29724,636.5418579651375
2024-01-12,762.1901,744.5687377070952
2024-01-13,675.4531,663.3688463432212
2024-01-14,726.6039,714.7648444393183
2024-01-15,626.0412,614.6867046981819
2024-01-16,682.87946,681.1489168092432
2024-01-17,635.20526,690.0313776093031
2024-01-18,821.13055,796.2580900837927
2024-01-19,717.83325,656.1046120579473
2024-01-20,847.9269,818.2355312311228
2024-01-21,773.00836,797.4111889322763
2024-01-22,533.9966,590.789983922098
2024-01-23,721.46985,707.5478544106098
2024-01-24,656.8351,660.1432407754435
2024-01-25,571.8863,659.2499549760379
2024-01-26,699.64746,631.8198195641073
2024-01-27,641.75934,666.2989281414062
2024-01-28,619.9746,623.8799282201817
